Model,Accuracy,Report
Linear SVM,0.3,"{'0': {'precision': 0.25, 'recall': 0.25, 'f1-score': 0.25, 'support': 4.0}, '2': {'precision': 0.3333333333333333, 'recall': 0.3333333333333333, 'f1-score': 0.3333333333333333, 'support': 3.0}, '3': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 4.0}, '4': {'precision': 0.25, 'recall': 0.6666666666666666, 'f1-score': 0.36363636363636365, 'support': 3.0}, '5': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, '6': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, 'accuracy': 0.3, 'macro avg': {'precision': 0.2222222222222222, 'recall': 0.2916666666666667, 'f1-score': 0.24116161616161613, 'support': 20.0}, 'weighted avg': {'precision': 0.2375, 'recall': 0.3, 'f1-score': 0.2545454545454545, 'support': 20.0}}"
Random Forest,0.25,"{'0': {'precision': 1.0, 'recall': 0.25, 'f1-score': 0.4, 'support': 4.0}, '2': {'precision': 0.2857142857142857, 'recall': 0.6666666666666666, 'f1-score': 0.4, 'support': 3.0}, '3': {'precision': 0.25, 'recall': 0.5, 'f1-score': 0.3333333333333333, 'support': 4.0}, '4': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, '5': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, '6': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, 'accuracy': 0.25, 'macro avg': {'precision': 0.25595238095238093, 'recall': 0.23611111111111108, 'f1-score': 0.18888888888888888, 'support': 20.0}, 'weighted avg': {'precision': 0.2928571428571428, 'recall': 0.25, 'f1-score': 0.2066666666666667, 'support': 20.0}}"
